,,,,,,,,,,x,x,,,,,,,,,,,
DATE,STATION,,GUN NO.,Voltage_actual,Voltage_Prog,Current_actual,Current_prog,Weld_time_actual,Weld_time_Prog,Heat Generated Actual,Heat Generated Prog,Energy_actual,,Energy_Prog,Heat_actual,Heat_prog,Resistance_actual,Resistance_prog,Phase_actual,Phase_prog,Derived heat,Derived Energy
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.06,9,800,1000,12315.68,27000,12767.75,4%,10000,15398.8,10000,231,300,37.06,100,19489.08,15394.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.96,3,8.27,9,663,1000,10746.6996,27000,10879.19,1%,10000,16214.49,10000,227,300,37.79,100,20517.87,16209.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.95,3,8.07,9,800,1000,12589.2,27000,13010.65,3%,10000,15732.79,10000,245,300,37.56,100,19537.47,15736.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.7,3,8.71,9,658,1000,9743.006,27000,9836.567,1%,10000,14811.76,10000,183,300,35.66,100,22759.23,14807
22.12.2022,ECA-40,RH02,D1-MG-885,1.54,3,8.96,9,707,1000,9755.4688,27000,9837.976,1%,10000,13792.7,10000,166,300,34.04,100,24084.48,13798.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.78,3,8.58,9,633,1000,9667.4292,27000,9779.36,1%,10000,15275.6,10000,199,300,36.46,100,22084.92,15272.4
22.12.2022,ECA-40,RH02,D1-MG-885,2,3,8.03,9,800,1000,12848,27000,13287.96,3%,10000,16065.6,10000,243,300,37.9,100,19344.27,16060
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.04,9,800,1000,12027.84,27000,12416.66,3%,10000,15025.64,10000,224,300,36.5,100,19392.48,15034.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.06,9,800,1000,12509.12,27000,12912.14,3%,10000,15630.58,10000,237,300,37.62,100,19489.08,15636.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.07,9,800,1000,12330.96,27000,12774.88,3%,10000,15409.12,10000,231,300,37.05,100,19537.47,15413.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.08,9,800,1000,12346.24,27000,12764.97,3%,10000,15430.7,10000,231,300,36.94,100,19585.92,15432.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.85,3,8.04,9,800,1000,11899.2,27000,12311.92,3%,10000,14882.33,10000,219,300,36.02,100,19392.48,14874
22.12.2022,ECA-40,RH02,D1-MG-885,1.81,3,8.17,9,800,1000,11830.16,27000,12231.87,3%,10000,14790.23,10000,216,300,36.04,100,20024.67,14787.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.06,9,800,1000,12444.64,27000,12866.64,3%,10000,15564.29,10000,238,300,37.2,100,19489.08,15555.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.76,3,8.76,9,636,1000,9805.5936,27000,9912.174,1%,10000,15416.54,10000,189,300,35.81,100,23021.28,15417.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.54,3,8.96,9,703,1000,9700.2752,27000,9836.64,1%,10000,13800.71,10000,168,300,33.8,100,24084.48,13798.4
